player_id,player_name,player_fullname,RATING_3_0,T_RATING,CT_RATING,ROUND_SWING,DPR,KAST,MULTI_KILL,ADR,KPR,Total_kills,Headshot_pct,Total_deaths,KD_Ratio,Damage_per_Round,Grenade_dmg_per_Round,Maps_played,Rounds_played,Kills_per_round,Assists_per_round,Deaths_per_round,Saved_by_teammate_per_round,Saved_teammates_per_round,Impact_rating,total_kills_weapon,rifle_kills,rifle_pct,sniper_kills,sniper_pct,pistol_kills,pistol_pct,smg_kills,smg_pct,top_weapon,top_weapon_pct,ak47_kills,m4a1_kills,m4a1s_kills,awp_kills,ssg08_kills,deagle_kills,glock_kills,usp_kills
19808,tN1R,Andrey Tatarinovich,1.04,1.03,1.04,-0.38%,0.65,72.6%,15.0%,72.0,0.66,652,54.9%,636,1.03,72.0,4.2,47,985,0.66,0.20,0.65,0.10,0.10,1.00,652,491,75.3,1,0.2,111,17.0,44,6.7,ak47,36.2,236,52,155,1,0,10,29,30
13776,Jame,Dzhami Ali,1.07,1.10,1.03,+1.17%,0.57,74.1%,16.1%,71.3,0.69,878,27.9%,725,1.21,71.3,4.8,55,1268,0.69,0.13,0.57,0.07,0.10,1.07,898,200,22.3,529,58.9,140,15.6,16,1.8,awp,58.2,117,6,59,523,6,4,32,53
19686,n1ssim,Vinicius Pereira,1.05,1.07,1.04,+0.34%,0.60,75.0%,14.7%,69.6,0.64,1010,52.1%,949,1.06,69.6,3.5,76,1589,0.64,0.18,0.60,0.08,0.08,0.87,1075,792,73.7,6,0.6,194,18.0,70,6.5,ak47,37.1,399,90,213,6,0,18,54,66
15662,zorte,Aleksandr Zagodyrenko,1.11,1.10,1.11,+1.54%,0.56,75.3%,17.4%,72.5,0.72,1623,33.8%,1272,1.28,72.5,3.3,108,2264,0.72,0.14,0.56,0.09,0.10,1.09,1623,509,31.4,794,48.9,277,17.1,18,1.1,awp,47.8,281,34,129,775,19,27,54,86
13497,Lucky,Lucas Chastang,1.09,1.14,1.06,+0.87%,0.63,75.3%,15.8%,75.6,0.67,1027,47.1%,959,1.07,75.6,7.2,72,1529,0.67,0.23,0.63,0.13,0.14,1.08,1027,821,79.9,33,3.2,140,13.6,16,1.6,ak47,42.5,436,16,293,30,3,3,39,46
20171,snow,João Vinicius,1.06,1.07,1.04,+0.31%,0.66,72.2%,16.1%,72.7,0.68,843,49.8%,819,1.03,72.7,4.6,57,1242,0.68,0.18,0.66,0.10,0.11,1.06,854,631,73.9,19,2.2,154,18.0,42,4.9,ak47,44.8,383,59,147,19,0,15,56,24
9436,NertZ,Guy Iluz,1.09,1.06,1.13,+0.53%,0.68,72.3%,17.6%,80.3,0.73,1092,55.1%,1016,1.07,80.3,5.1,70,1505,0.73,0.21,0.68,0.11,0.11,1.27,1092,803,73.5,16,1.5,171,15.7,92,8.4,ak47,44.0,481,202,73,16,0,4,46,60
18317,magixx,Boris Vorobiev,1.02,0.98,1.05,+0.09%,0.62,74.0%,12.5%,69.2,0.59,585,53.5%,610,0.96,69.2,7.9,47,985,0.59,0.21,0.62,0.11,0.08,0.88,585,372,63.6,18,3.1,92,15.7,91,15.6,ak47,25.6,150,52,107,17,1,5,31,27
20968,soulfly,Caner Kesici,1.01,1.01,1.01,-0.13%,0.65,72.2%,13.7%,67.4,0.60,832,53.0%,898,0.93,67.4,3.1,63,1381,0.60,0.18,0.65,0.11,0.10,0.89,832,586,70.4,3,0.4,135,16.2,96,11.5,ak47,37.5,312,38,204,3,0,9,43,47
13666,Brollan,Ludvig Brolin,0.99,1.02,0.95,-0.49%,0.65,68.7%,14.2%,69.7,0.61,407,55.0%,431,0.94,69.7,5.0,32,662,0.61,0.21,0.65,0.13,0.06,1.10,407,290,71.3,2,0.5,58,14.3,52,12.8,ak47,35.9,146,32,76,2,0,1,21,19
